子供{{c1::あっての}}我が家、子供がいなかったら、即離婚だな。	あっての<br>あればの<br>あったの<br>あるべき
主婦のパートだったら、時給７００円から１０００円{{c1::といったところ}}が相場だろう。	といったところ<br>といったこと<br>としたこと<br>としたところ
彼は噂によると１億5千万円{{c1::からの}}借金を抱えているという。	からの<br>にたる<br>にまして<br>ゆえの
冬の厳しいこの地方でも、雪がとけ始め、あたりもようやく春{{c1::めいてきた}}。	めいてきた<br>どおりだ<br>づいてきた<br>っぽい
あの店{{c1::ときたら}}サービスが悪くて……。味だけは一流なんだけどね。	ときたら<br>としたら<br>として<br>ときて
冬は人通りが少なく寂しい限りだが、春{{c1::ともなると}}、花見客でにぎわうようになる。	ともなると<br>ともあれ<br>ともすると<br>ともなれ
漢字は{{c1::おろか}}ひらがなも書けないなんて！	おろか<br>きわみ<br>かぎり<br>あげく
私がお見合いしようと{{c1::するまい}}と、あなたには関係ありません。	するまい<br>せざる<br>したい<br>したがらざる
彼女は仕事をする{{c1::かたわら}}独学で英語を学び、英検１級に合格した。	かたわら<br>あまり<br>うちに<br>そばから
こんな夜中に電話してくるなんて、非常識{{c1::極まりない}}。	極まりない<br>極めている<br>極まらない<br>極まっている
学生あての荷物が学校に届いたが、夏休み中の{{c1::こととて}}連絡がとれなかった。	こととて<br>ことさせ<br>ことでは<br>ことに
上から下まで黒{{c1::ずくめで}}妙な人物が家の前をうろうろしていたのでびっくりした。	ずくめで<br>ぐらいで<br>めいて<br>ぼっちで
やるだけのことはやった。あとは、合格通知を待つ{{c1::のみ}}だ。	のみ<br>ほど<br>きり<br>すら
東京に家を建てるためだ。節約、節約、1円{{c1::たりとも}}むだづかいはできない。	たりとも<br>どころか<br>ならでは<br>までも
彼女がこのクラスに{{c1::入って}}からというもの、雰囲気が一変した。	入って<br>入った<br>入る<br>入らない
10年に一度のお祭り{{c1::とあって}}、村は見物客でにぎわった。	とあって<br>にあたって<br>として<br>にして
まさか……あのテレビのアナウンサーがガンだった{{c1::とは}}、知らなかった。	とは<br>にすら<br>わけに<br>ものを
可能性がないとは言わない{{c1::まで}}も、限りなくゼロに近いね。	まで<br>から<br>ばかり<br>すら
これこそ日本の味だ。日本{{c1::ならでは}}の独特の風味がある。	ならでは<br>であれ<br>らしき<br>ごとき
妻が離婚を決意する{{c1::にいたって}}、初めて夫は自分の非に気づいた。	にいたって<br>について<br>にひきかえ<br>に際して
たかが不合格だとは思っても、「死にます」って手紙に書いてあったんだ。命に{{c1::かかわる}}ことなんだ。ほっておけないよ。	かかわる<br>いたる<br>あたる<br>かわる
勉強家の弟{{c1::にひきかえ}}、兄は遊んでばかりいる。	にひきかえ<br>はもとより<br>とはいえ<br>とともに
大人気だった第一回目のコンサートにも{{c1::まして}}、今回はチケット発売時から申し込みが殺到している。	まして<br>ひきかえ<br>いたって<br>あたって
あなたのためを思えば{{c1::こそ}}、こんなに厳しくいうのです。	こそ<br>から<br>すら<br>だけ
こんな簡単なことは、わざわざ先生にきく{{c1::までもなく}}、辞書をひけばわかります。	までもなく<br>わけもなく<br>はずもなく<br>ほどもなく
だれもが有名になりたがるが、有名である{{c1::がゆえの}}悩みというものもある。	がゆえの<br>かわりの<br>ごとくの<br>だけの
きみの実力を{{c1::もって}}すれば、日本語能力試験など恐れるにたりない。	もって<br>とって<br>かぎりに<br>ように
まわりの人々の忠告{{c1::をよそに}}、わがままを通してきた彼ももうすぐ人の親になる。	をよそに<br>はもとより<br>はやはり<br>をかぎりに
課長のSは、策略家で、社長に{{c1::ならんがために}}、いろいろ裏工作をしていると聞く。	ならんがために<br>ならぬがために<br>なるまいがために<br>ならないがために
子どものけんかに親がわざわざ口出しをする{{c1::までもない}}。それぐらいのこと子ども同士で解決させろ。	までもない<br>までだ<br>ものだ<br>のもでもない
あの冷静なAさん{{c1::にして}}上がってしまうのだから、そうでない我々はどうなることか。	にして<br>だから<br>こそ<br>なのに
ファミコンにかけては、子ども{{c1::といえども}}、バカにはできない。	といえども<br>といったが<br>といって<br>というなら
うちの母親におかずが少ないとか、まずいとか{{c1::言った}}が最後、つぎから食事は作ってもらえない。	言った<br>言って<br>言う<br>言わない
主婦は、夫と子どもを残して、旅行で3日も家をあけると、家の中がどうなっているか、{{c1::想像する}}だに恐ろしいという。	想像する<br>想像できる<br>想像せず<br>想像せぬ
友人が病院に運ばれたときいたときは、もうだめかと思ったが、かろうじて命だけは{{c1::たすかったようだ}}。	たすかったようだ<br>たすかるしまった<br>たすかるにあたらなかった<br>たすかるわけだ
強引で一方的なところがある彼は、人の話をろくに{{c1::きこうとしない}}。	きこうとしない<br>きくべきではない<br>ききようがない<br>きかないわけにはいかない
あなたを心配しているからこそ、わたしはあなたに、厳しく注意する{{c1::のです}}。	のです<br>はずです<br>ものです<br>ことです
通信販売に人気が集まっている。確かに便利なものであるとはいえ、実際に品物を見ないことには、{{c1::安心できそうもない}}。	安心できそうもない<br>安心するかぎりだ<br>安心するにはあたらない<br>安心してやまない
全員合格を目指してがんばったが、実際に合格できたのは50％{{c1::に過ぎなかった}}。	に過ぎなかった<br>を過ぎた<br>まで過ぎた<br>しか過ぎなかった
旅行に行って、少しのんびりしたいと思うが、会社が休みをくれないのでは、行きたくても{{c1::行きようがない}}。	行きようがない<br>行かないではいられない<br>行かざるをえない<br>行かずにはすまない
もぎたてのブドウは本当においしい。これほどのおいしさは、産地ならでは{{c1::味わえない}}。	味わえない<br>味わうばかりだ<br>味わいかねない<br>味わうことができる
「ミスをなくせ」と言われても、機械ではあるまいし、完璧な仕事は、そう簡単に{{c1::できるものではない}}。	できるものではない<br>できるつもりはない<br>できないものでもない<br>できないつもりはない
冗談が好きでいつもみんなを笑わせてくれる彼だが、少し冗談が{{c1::過ぎるきらいがある}}。	過ぎるきらいがある<br>過ぎるにたえない<br>過ぎないまでのことだ<br>過ぎないものがある
優しくて冷静な彼といえども、場合によっては感情的な反応を{{c1::示すこともある}}。	示すこともある<br>示しつつある<br>示すまい<br>示さんばかりである
不況が続く中、どの会社も生き残るために必死である。しかし、社員{{c1::あっての}}会社なのだから、社員に負担をかけるようなことは、できるだけ避けなければならない。	あっての<br>ずくめの<br>まみれの<br>かぎりの
今の情報化社会では、メディアを通してさまざまな体験ができるようになった。だからこそ、実際に{{c1::身をもって}}体験することの重要性も増してきている。	身をもって<br>身をおいて<br>身をものともせず<br>身をよそに
なぜ、彼女はわたしに相談してくれなかったのだろう。わたしに相談してくれさえすれば、いくらでも力になった{{c1::ものを}}。彼女の立場を思うと分からないでもないが、いまさらながら、悔やまれる。	ものを<br>ものだ<br>ものの<br>ものか
消費税を廃止しろと言う人がいる。しかし、歴史を後戻り{{c1::させるべきではない}}。むしろ、所得税をすべて消費税に切り替えることの方が、現在の消費社会に適していて現実的だ。	させるべきではない<br>させるしかない<br>させないわけがない<br>させないではすまない
知人のK氏は、日本の大都市で暮らしながら、毎年、母国から来日する留学生の世話をしている。自分の仕事をもちながら苦労して後輩のめんどうを見るのは、彼自身、かつて留学生だった{{c1::からにほかならない}}。後輩を育てることが、現在の彼の生きがいである。	からにほかならない<br>よりほかにない<br>からにはしかたがない<br>ことになっている
今、思い出してみると、学生時代は本当にのんびりしていた。それが、就職して社会の一員に{{c1::なってからといもの}}、ほとんど自分の生活をふりかえる余裕もなく、仕事に追われる毎日となってしまった。	なってからといもの<br>なったそばから<br>なろうものなら<br>なってからでないと
確かに計画が失敗した責任は彼にある。だからといって、人の悪口を、その人のいないところで{{c1::言うものではない}}。人のことを悪く言えば、必ずその言葉は自分に返ってくるからである。	言うものではない<br>言わないものではない<br>言わずにはおかない<br>言わざるをえない
なぜ「いじめ」のような事件が起きるのであろうか。いろいろ議論は{{c1::あるにせよ}}学校の内部だけの問題でないことは確かである。	あるにせよ<br>あるのみならず<br>あるまでもなく<br>あるかわりに
あの戦争から50年以上がたつというのに、今も世界のあちこちで争いが絶えない。地球全体が病気にかかっているようで、将来を{{c1::心配せずにはいられない}}。	心配せずにはいられない<br>心配するものではない<br>心配するべきではない<br>心配せずにはおかない
人間は社会的な動物であり、特に現代の情報社会では社会を意識しないでは生きて行けない。しかし、人が何と{{c1::言おうと}}、絶対に変わらない強い意志も必要である。	言おうと<br>言うまじき<br>言いながらも<br>言うまいと
天候に{{c1::かかわらず}}明日は遠足に行きます。	かかわらず<br>よると<br>よれば<br>かかわり
子ども達は動物園に着くが{{c1::はやいか}}おやつを食べ出した。	はやいか<br>はやるか<br>はやくて<br>はやめて
試験の結果を{{c1::もとにして}}クラス分けを行います。	もとにして<br>もとづいて<br>かぎりにして<br>めぐって
帰国のあいさつ{{c1::かたがた}}おみやげを持って先生のお宅を訪問した。	かたがた<br>がらみに<br>かねて<br>がために
彼は学生として許す{{c1::べからざる}}行為を行ったとして退学させられた。	べからざる<br>べき<br>べく<br>べからず
卒業生の健康と幸せを願って{{c1::やまない}}。	やまない<br>そういない<br>とまらない<br>すまない
今日は朝からいいこと{{c1::ずくめで}}幸せな気分だ。	ずくめで<br>よりで<br>あふれて<br>かぎりで
原子力発電所の建設に{{c1::あたって}}住民との話し合いがもたれた。	あたって<br>わたって<br>かけて<br>うけて
